env,regularizer,protocol,n,collapse_prob,primary_metric_given_viable_mean
lorenz,moment,1step,5,0.0,9249.287368047131
lorenz,moment,bptt,5,0.0,123.46511958269328
lorenz,none,1step,5,1.0,nan
lorenz,none,bptt,5,1.0,nan
lorenz,sigreg,1step,5,0.0,573.3661042266697
lorenz,sigreg,bptt,5,0.0,133.8071469270822
ou,moment,1step,5,0.0,76.35925289680895
ou,moment,bptt,5,0.6,77.82218999894141
ou,moment,hstep-tf,5,0.0,76.12593863633755
ou,none,1step,5,1.0,nan
ou,none,bptt,5,1.0,nan
ou,sigreg,1step,5,1.0,nan
ou,sigreg,bptt,5,1.0,nan
ou,sigreg,hstep-tf,5,0.8,115.61951706583332
pointmass,moment,1step,3,0.0,37.50848014899433
pointmass,moment,bptt,3,0.0,8.817434766841911
pointmass,moment,hstep-tf,3,0.0,46.42715275024366
pointmass,none,1step,3,1.0,nan
pointmass,none,bptt,3,1.0,nan
pointmass,sigreg,1step,3,1.0,nan
pointmass,sigreg,bptt,3,1.0,nan
pointmass,sigreg,hstep-tf,3,1.0,nan
pointmass-state,moment,1step,5,0.0,4.612534578091793
pointmass-state,moment,bptt,5,0.0,2.69888703604214
pointmass-state,none,1step,5,1.0,nan
pointmass-state,none,bptt,5,1.0,nan
pointmass-state,sigreg,1step,5,1.0,nan
pointmass-state,sigreg,bptt,5,1.0,nan
stable-linear-det,moment,1step,5,0.0,2.990246537735268
stable-linear-det,moment,bptt,5,0.8,2.675162769527798
stable-linear-det,none,1step,5,1.0,nan
stable-linear-det,none,bptt,5,1.0,nan
